		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/01/18	4:30 p	32.9	32.9	32.7	53	22.1	8.0	SSE	4.02	12.9	S	32.9	37.4	37.4	1031.3	0.00	0.0	0.000	0.304	35.7	48	23.0	41.9	8.53	1.1325	127	1	18.6	30
02/01/18	5:00 p	33.4	33.4	32.9	56	23.4	4.8	S	2.41	16.1	S	33.4	39.4	39.4	1031.2	0.00	0.0	0.000	0.314	35.7	46	22.3	41.2	8.23	1.1337	699	1	100.0	30
02/01/18	5:30 p	30.9	33.6	30.9	62	22.8	4.8	E	2.41	17.7	SSE	30.9	35.1	35.1	1031.3	0.00	0.0	0.000	0.262	34.3	49	22.1	39.1	8.77	1.1389	700	1	100.0	30
02/01/18	6:00 p	29.4	30.8	29.4	68	22.9	6.4	E	3.22	16.1	ENE	29.4	33.3	33.3	1031.7	0.00	0.0	0.000	0.230	32.2	55	22.0	36.2	9.75	1.1477	701	1	100.0	30
02/01/18	6:30 p	29.1	29.4	29.1	69	22.8	6.4	E	3.22	17.7	NE	29.1	33.0	33.0	1031.8	0.00	0.0	0.000	0.225	31.8	57	22.2	35.9	10.08	1.1489	699	1	100.0	30
02/01/18	7:00 p	28.3	29.1	28.2	73	23.0	8.0	E	4.02	22.5	E	28.3	31.8	31.8	1032.2	0.00	0.0	0.000	0.207	31.1	59	22.1	34.7	10.49	1.1522	700	1	100.0	30
02/01/18	7:30 p	27.7	28.3	27.7	76	23.1	9.7	ENE	4.83	22.5	ENE	27.7	30.9	30.9	1032.5	0.00	0.0	0.000	0.196	30.2	62	22.1	33.9	11.02	1.1558	699	1	100.0	30
02/01/18	8:00 p	27.2	27.8	27.2	76	22.6	8.0	E	4.02	22.5	E	27.2	29.7	29.7	1032.6	0.00	0.0	0.000	0.184	29.5	63	21.7	32.6	11.25	1.1593	701	1	100.0	30
02/01/18	8:30 p	26.6	27.2	26.6	79	22.6	4.8	E	2.41	14.5	E	26.6	28.9	28.9	1032.9	0.00	0.0	0.000	0.171	29.1	62	21.1	31.7	11.06	1.1623	703	1	100.0	30
02/01/18	9:00 p	25.8	26.6	25.8	82	22.5	1.6	SE	0.80	4.8	SE	25.8	28.0	28.0	1033.3	0.00	0.0	0.000	0.156	28.8	62	20.8	31.1	11.07	1.1646	702	1	100.0	30
02/01/18	9:30 p	25.4	25.9	25.4	85	22.7	1.6	ESE	0.80	4.8	SE	25.4	27.7	27.7	1033.7	0.00	0.0	0.000	0.148	28.4	62	20.4	30.2	11.09	1.1672	702	1	100.0	30
02/01/18	10:00 p	25.2	25.4	25.1	87	22.8	1.6	ESE	0.80	3.2	ESE	25.2	27.3	27.3	1034.0	0.00	0.0	0.000	0.142	28.1	63	20.4	29.8	11.30	1.1690	702	1	100.0	30
02/01/18	10:30 p	24.8	25.2	24.7	88	22.7	1.6	ESE	0.80	4.8	ESE	24.8	26.8	26.8	1034.3	0.00	0.0	0.000	0.134	27.7	63	20.0	29.2	11.31	1.1711	701	1	100.0	30
02/01/18	11:00 p	24.6	24.8	24.6	90	22.8	0.0	---	0.00	0.0	---	24.6	26.6	26.6	1034.4	0.00	0.0	0.000	0.130	27.4	64	20.0	28.8	11.52	1.1727	702	1	100.0	30
02/01/18	11:30 p	24.1	24.6	24.1	87	21.8	0.0	---	0.00	0.0	---	24.1	25.9	25.9	1034.7	0.00	0.0	0.000	0.120	27.1	65	20.0	28.4	11.73	1.1741	700	1	100.0	30
02/02/18	12:00 a	23.8	24.2	23.8	88	21.7	1.6	ESE	0.80	8.0	SSE	23.8	25.5	25.5	1034.6	0.00	0.0	0.000	0.113	26.8	65	19.6	27.9	11.75	1.1758	698	1	100.0	30
02/02/18	12:30 a	23.3	23.8	23.3	90	21.6	0.0	SE	0.00	3.2	SE	23.3	24.7	24.7	1034.6	0.00	0.0	0.000	0.104	26.3	65	19.2	27.3	11.76	1.1782	699	1	100.0	30
02/02/18	1:00 a	22.9	23.3	22.9	92	21.5	1.6	SE	0.80	3.2	SE	22.9	24.3	24.3	1034.4	0.00	0.0	0.000	0.095	26.0	66	19.2	27.0	11.97	1.1795	703	1	100.0	30
02/02/18	1:30 a	22.4	22.9	22.4	94	21.4	0.0	---	0.00	0.0	---	22.4	23.9	23.9	1034.2	0.00	0.0	0.000	0.086	25.6	66	18.8	26.5	11.99	1.1813	700	1	100.0	30
02/02/18	2:00 a	22.2	22.5	22.2	94	21.2	0.0	SE	0.00	1.6	SE	22.2	23.7	23.7	1034.0	0.00	0.0	0.000	0.080	25.2	67	18.7	26.1	12.20	1.1829	701	1	100.0	30
02/02/18	2:30 a	21.9	22.2	21.8	96	21.2	0.0	---	0.00	0.0	---	21.9	23.5	23.5	1034.1	0.00	0.0	0.000	0.074	24.9	67	18.4	25.8	12.21	1.1845	701	1	100.0	30
02/02/18	3:00 a	21.7	21.9	21.7	96	21.1	0.0	---	0.00	0.0	---	21.7	23.3	23.3	1034.2	0.00	0.0	0.000	0.071	24.6	68	18.3	25.5	12.50	1.1861	699	1	100.0	30
02/02/18	3:30 a	21.6	21.8	21.6	96	20.9	0.0	---	0.00	0.0	---	21.6	23.2	23.2	1034.2	0.00	0.0	0.000	0.067	24.3	68	18.0	25.2	12.52	1.1876	698	1	100.0	30
02/02/18	4:00 a	21.3	21.6	21.3	96	20.6	0.0	---	0.00	0.0	---	21.3	22.8	22.8	1034.3	0.00	0.0	0.000	0.061	24.1	69	18.1	25.0	12.73	1.1885	703	1	100.0	30
02/02/18	4:30 a	21.3	21.4	21.3	97	20.8	0.0	ESE	0.00	4.8	ESE	21.3	23.0	23.0	1034.5	0.00	0.0	0.000	0.063	23.8	70	18.0	24.8	12.95	1.1899	700	1	100.0	30
02/02/18	5:00 a	21.4	21.4	21.3	97	20.9	1.6	E	0.80	4.8	E	21.4	23.1	23.1	1034.5	0.00	0.0	0.000	0.064	23.6	71	18.0	24.6	13.27	1.1908	700	1	100.0	30
02/02/18	5:30 a	22.3	22.4	21.4	97	21.8	3.2	ENE	1.61	16.1	ENE	22.3	24.1	24.1	1034.6	0.00	0.0	0.000	0.083	23.5	73	18.4	24.5	13.78	1.1908	703	1	100.0	30
02/02/18	6:00 a	22.6	22.6	22.3	96	21.9	4.8	ENE	2.41	11.3	E	22.6	24.3	24.3	1035.0	0.00	0.0	0.000	0.089	23.6	78	19.5	24.8	15.26	1.1890	700	1	100.0	30
02/02/18	6:30 a	22.9	22.9	22.6	96	22.3	4.8	E	2.41	16.1	ENE	22.9	24.6	24.6	1035.3	0.00	0.0	0.000	0.096	23.7	80	20.1	25.0	16.06	1.1880	702	1	100.0	30
02/02/18	7:00 a	23.1	23.1	22.9	95	22.2	3.2	E	1.61	11.3	ENE	23.1	24.7	24.7	1035.9	0.00	0.0	0.000	0.098	23.9	78	19.8	25.2	15.25	1.1885	702	1	100.0	30
02/02/18	7:30 a	23.6	23.6	23.0	93	22.4	3.2	ENE	1.61	9.7	ENE	23.6	25.4	25.4	1036.1	0.00	0.0	0.000	0.110	24.4	82	21.2	26.1	16.81	1.1842	702	1	100.0	30
02/02/18	8:00 a	24.8	24.8	23.6	88	22.7	6.4	ENE	3.22	22.5	ENE	24.8	26.8	26.8	1036.4	0.00	0.0	0.000	0.134	25.8	79	21.9	27.7	15.58	1.1777	701	1	100.0	30
02/02/18	8:30 a	26.0	26.0	24.8	82	22.7	9.7	ENE	4.83	20.9	ENE	26.0	28.3	28.3	1036.7	0.00	0.0	0.000	0.160	27.2	73	21.9	29.3	13.63	1.1728	700	1	100.0	30
02/02/18	9:00 a	26.6	26.6	26.0	77	22.2	11.3	ENE	5.63	25.7	NE	26.6	28.8	28.8	1036.9	0.00	0.0	0.000	0.172	28.2	68	21.8	30.8	12.29	1.1692	700	1	100.0	30
02/02/18	9:30 a	27.3	27.3	26.6	77	22.9	8.0	E	4.02	19.3	E	27.3	30.1	30.1	1036.8	0.00	0.0	0.000	0.186	29.0	66	22.0	32.2	11.87	1.1656	700	1	100.0	30
02/02/18	10:00 a	28.0	28.0	27.2	72	22.5	9.7	ENE	4.83	22.5	E	28.0	30.9	30.9	1036.8	0.00	0.0	0.000	0.201	29.2	63	21.5	32.1	11.26	1.1657	700	1	100.0	30
02/02/18	10:30 a	28.1	28.3	28.0	70	22.1	8.0	E	4.02	20.9	NE	28.1	30.9	30.9	1036.3	0.00	0.0	0.000	0.204	29.7	61	21.3	32.6	10.93	1.1637	702	1	100.0	30
02/02/18	11:00 a	28.6	28.6	28.1	72	23.1	9.7	ENE	4.83	19.3	ENE	28.6	32.4	32.4	1035.9	0.00	0.0	0.000	0.214	29.8	60	21.2	32.6	10.73	1.1630	696	1	100.0	30
02/02/18	11:30 a	28.9	29.0	28.6	67	22.1	9.7	ENE	4.83	19.3	E	28.9	32.2	32.2	1035.9	0.00	0.0	0.000	0.220	30.3	58	21.1	33.3	10.32	1.1610	700	1	100.0	30
02/02/18	12:00 p	30.4	30.4	28.9	65	23.1	6.4	E	3.22	19.3	E	30.4	34.9	34.9	1035.6	0.00	0.0	0.000	0.251	31.4	57	21.8	35.0	10.11	1.1554	699	1	100.0	30
02/02/18	12:30 p	30.9	31.4	30.3	59	21.9	3.2	E	1.61	12.9	E	30.9	34.4	34.4	1035.1	0.00	0.0	0.000	0.262	32.6	53	21.8	36.7	9.42	1.1502	700	1	100.0	30
02/02/18	1:00 p	31.8	31.8	30.8	60	23.1	3.2	WSW	1.61	12.9	NNW	31.8	36.7	36.7	1034.6	0.00	0.0	0.000	0.281	33.9	52	22.7	39.2	9.23	1.1433	699	1	100.0	30
02/02/18	1:30 p	31.8	31.9	31.2	55	21.6	4.8	NNW	2.41	14.5	N	31.8	35.4	35.4	1034.2	0.00	0.0	0.000	0.280	34.2	52	23.0	40.0	9.21	1.1411	700	1	100.0	30
02/02/18	2:00 p	31.1	31.8	30.8	64	23.4	4.8	SSW	2.41	9.7	SSE	31.1	35.7	35.7	1033.8	0.00	0.0	0.000	0.265	34.4	51	22.8	40.1	9.07	1.1399	703	1	100.0	30
02/02/18	2:30 p	31.3	31.3	30.7	62	23.1	4.8	SE	2.41	14.5	SSE	31.3	35.8	35.8	1033.3	0.00	0.0	0.000	0.270	34.6	51	23.0	40.5	9.06	1.1385	700	1	100.0	30
02/02/18	3:00 p	32.3	33.0	31.3	54	21.8	4.8	W	2.41	14.5	WSW	32.3	36.2	36.2	1032.7	0.00	0.0	0.000	0.291	35.3	49	22.9	41.3	8.73	1.1354	697	1	100.0	30
02/02/18	3:30 p	31.9	32.3	31.3	62	23.8	1.6	E	0.80	8.0	SE	31.9	37.6	37.6	1032.6	0.00	0.0	0.000	0.284	34.7	49	22.4	39.9	8.76	1.1386	696	1	100.0	30
02/02/18	4:00 p	32.6	32.8	31.9	55	22.4	4.8	SE	2.41	14.5	SSE	32.6	37.2	37.2	1032.2	0.00	0.0	0.000	0.297	35.1	48	22.4	40.4	8.55	1.1367	700	1	100.0	30
