		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
03/01/18	12:30 a	23.2	23.3	23.1	97	22.7	0.0	ENE	0.00	3.2	ENE	23.2	24.9	24.9	1031.5	0.00	0.0	0.000	0.101	25.2	74	20.2	26.5	14.00	1.1776	699	1	100.0	30
03/01/18	1:00 a	23.0	23.2	22.9	97	22.5	0.0	---	0.00	0.0	---	23.0	24.8	24.8	1031.3	0.00	0.0	0.000	0.097	25.0	75	20.3	26.4	14.35	1.1779	699	1	100.0	30
03/01/18	1:30 a	22.8	23.0	22.8	97	22.3	1.6	ENE	0.80	4.8	ESE	22.8	24.6	24.6	1031.2	0.00	0.0	0.000	0.094	24.8	75	20.1	26.2	14.35	1.1787	701	1	100.0	30
03/01/18	2:00 a	22.6	22.8	22.6	97	22.1	0.0	ESE	0.00	4.8	ENE	22.6	24.3	24.3	1031.6	0.00	0.0	0.000	0.089	24.6	76	20.1	26.0	14.65	1.1801	700	1	100.0	30
03/01/18	2:30 a	22.6	22.7	22.5	98	22.2	1.6	ENE	0.80	4.8	ENE	22.6	24.4	24.4	1031.6	0.00	0.0	0.000	0.088	24.4	76	19.9	25.8	14.65	1.1813	701	1	100.0	30
03/01/18	3:00 a	22.4	22.6	22.3	98	22.1	0.0	ENE	0.00	3.2	ENE	22.4	24.2	24.2	1032.0	0.00	0.0	0.000	0.084	24.2	76	19.7	25.6	14.65	1.1827	701	1	100.0	30
03/01/18	3:30 a	22.3	22.4	22.3	98	21.9	0.0	ENE	0.00	1.6	ENE	22.3	24.1	24.1	1032.2	0.00	0.0	0.000	0.082	24.1	77	19.8	25.4	14.95	1.1835	701	1	100.0	30
03/01/18	4:00 a	22.8	22.8	22.3	98	22.4	0.0	ESE	0.00	3.2	ESE	22.8	24.6	24.6	1032.6	0.00	0.0	0.000	0.093	23.9	77	19.7	25.2	14.95	1.1847	700	1	100.0	30
03/01/18	4:30 a	22.8	22.8	22.7	98	22.4	1.6	ESE	0.80	6.4	S	22.8	24.6	24.6	1032.8	0.00	0.0	0.000	0.093	24.0	78	19.9	25.3	15.25	1.1841	703	1	100.0	30
