                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
10/30/18  1:00p   32.5   32.5   31.4    42   17.9   8.0   WSW   4.02  22.5    NW   32.5   33.8   33.8  1034.3  0.00   0.0   0.000   0.295   35.7    41   20.4   39.4   7.45 1.1404    702    1    100.0   30 
10/30/18  1:30p   33.1   33.7   32.5    39   17.3   6.4    NW   3.22  16.1     W   33.1   34.2   34.2  1033.9  0.00   0.0   0.000   0.308   36.6    40   20.8   41.1   7.25 1.1357    701    1    100.0   30 
10/30/18  2:00p   31.9   33.1   31.9    40   16.7   4.8   ENE   2.41  14.5     E   31.9   32.6   32.6  1033.4  0.00   0.0   0.000   0.284   36.4    38   19.8   39.8   7.00 1.1374    699    1    100.0   30 
10/30/18  2:30p   33.8   33.8   31.9    34   15.7   4.8   ESE   2.41  14.5     N   33.8   34.2   34.2  1033.0  0.00   0.0   0.000   0.322   36.8    37   19.7   40.1   6.79 1.1359    700    1    100.0   30 
10/30/18  3:00p   32.8   34.3   32.8    38   16.6   3.2     E   1.61  16.1    SE   32.8   33.6   33.6  1032.5  0.00   0.0   0.000   0.302   37.0    36   19.5   40.0   6.68 1.1350    702    1    100.0   30 
10/30/18  3:30p   32.7   33.7   32.6    37   16.1   6.4   ESE   3.22  16.1   ESE   32.7   33.1   33.1  1032.1  0.00   0.0   0.000   0.299   36.6    35   18.7   38.8   6.49 1.1372    701    1    100.0   30 
10/30/18  4:00p   32.5   33.4   32.5    37   15.9   6.4    SE   3.22  16.1     S   32.5   32.8   32.8  1031.9  0.00   0.0   0.000   0.295   36.4    35   18.5   38.6   6.50 1.1377    701    1    100.0   30 
10/30/18  4:30p   32.5   32.5   32.3    37   15.9   3.2     S   1.61  12.9    SE   32.5   32.8   32.8  1031.8  0.00   0.0   0.000   0.295   36.0    35   18.1   37.8   6.51 1.1398    701    1    100.0   30 
10/30/18  5:00p   32.5   32.7   32.4    36   15.5   1.6   SSW   0.80   6.4     W   32.5   32.7   32.7  1031.7  0.00   0.0   0.000   0.295   35.4    34   17.2   36.6   6.43 1.1432    700    1    100.0   30 
10/30/18  5:30p   33.1   33.1   32.4    34   15.1   0.0     N   0.00   4.8   WSW   33.1   33.2   33.2  1031.7  0.00   0.0   0.000   0.308   34.9    35   17.2   35.9   6.56 1.1452    699    1    100.0   30 
10/30/18  6:00p   32.2   33.2   32.2    36   15.2   0.0   ---   0.00   0.0   ---   32.2   32.2   32.2  1032.0  0.00   0.0   0.000   0.288   34.4    35   16.7   35.2   6.59 1.1481    703    1    100.0   30 
10/30/18  6:30p   30.7   32.2   30.7    39   15.1   0.0   ---   0.00   0.0   ---   30.7   30.7   30.7  1032.4  0.00   0.0   0.000   0.257   33.6    36   16.5   34.3   6.80 1.1518    702    1    100.0   30 
10/30/18  7:00p   28.7   30.7   28.7    45   15.6   1.6   SSE   0.80   8.0   SSE   28.7   29.2   29.2  1032.6  0.00   0.0   0.000   0.216   32.6    36   15.6   32.8   6.84 1.1569    699    1    100.0   30 
10/30/18  7:30p   28.8   29.3   28.7    55   18.8  11.3   SSE   5.63  27.4   ESE   28.8   30.2   30.2  1033.0  0.00   0.0   0.000   0.218   31.8    38   15.8   32.1   7.16 1.1601    700    1    100.0   30 
10/30/18  8:00p   26.9   28.8   26.9    62   19.0  14.5    SE   7.24  32.2    SE   26.3   27.9   27.3  1033.6  0.00   0.0   0.000   0.178   31.1    41   16.3   31.3   7.65 1.1632    700    1    100.0   30 
10/30/18  8:30p   25.9   26.9   25.9    65   18.9  14.5    SE   7.24  30.6    SE   25.3   26.8   26.2  1034.0  0.00   0.0   0.000   0.159   30.1    43   16.2   30.6   7.95 1.1674    700    1    100.0   30 
10/30/18  9:00p   25.1   26.0   25.1    69   19.0  16.1    SE   8.05  29.0   SSE   24.0   26.1   25.0  1034.5  0.00   0.0   0.000   0.140   29.3    45   16.1   29.8   8.26 1.1712    702    1    100.0   30 
10/30/18  9:30p   24.6   25.1   24.6    70   18.7  12.9    SE   6.44  27.4   ESE   24.3   25.6   25.3  1034.7  0.00   0.0   0.000   0.130   28.3    47   15.9   28.8   8.59 1.1753    701    1    100.0   30 
10/30/18 10:00p   24.3   24.6   24.3    68   18.0   8.0    SE   4.02  17.7   ESE   24.3   25.2   25.2  1034.8  0.00   0.0   0.000   0.124   27.6    48   15.6   27.7   8.82 1.1787    702    1    100.0   30 
10/30/18 10:30p   24.2   24.4   24.2    67   17.7  11.3   ESE   5.63  24.1    SE   24.2   24.9   24.9  1034.7  0.00   0.0   0.000   0.122   26.9    49   15.3   26.9   8.94 1.1819    702    1    100.0   30 
10/30/18 11:00p   23.4   24.2   23.4    69   17.4   3.2     E   1.61  11.3     E   23.4   24.3   24.3  1034.7  0.00   0.0   0.000   0.106   26.3    49   14.8   26.4   8.96 1.1847    700    1    100.0   30 
10/30/18 11:30p   22.8   23.4   22.8    71   17.2   0.0     E   0.00   4.8     E   22.8   23.4   23.4  1034.7  0.00   0.0   0.000   0.093   25.9    50   14.7   25.9   9.18 1.1866    699    1    100.0   30 
10/31/18 12:00a   21.9   22.8   21.9    73   16.8   0.0   ---   0.00   0.0   ---   21.9   22.3   22.3  1034.7  0.00   0.0   0.000   0.074   25.3    50   14.2   25.3   9.20 1.1894    702    1    100.0   30 
10/31/18 12:30a   21.2   21.9   21.2    76   16.8   0.0   ---   0.00   0.0   ---   21.2   21.6   21.6  1034.4  0.00   0.0   0.000   0.060   24.8    50   13.7   24.8   9.22 1.1916    698    1    100.0   30 
10/31/18  1:00a   20.8   21.2   20.8    78   16.8   0.0     E   0.00   4.8     E   20.8   21.4   21.4  1034.4  0.00   0.0   0.000   0.051   24.3    51   13.5   24.4   9.35 1.1938    701    1    100.0   30 
10/31/18  1:30a   20.7   21.0   20.6    78   16.7   0.0   ---   0.00   0.0   ---   20.7   21.3   21.3  1034.2  0.00   0.0   0.000   0.049   23.9    51   13.1   24.0   9.35 1.1959    699    1    100.0   30 
10/31/18  2:00a   19.8   20.7   19.8    80   16.2   0.0   ---   0.00   0.0   ---   19.8   20.4   20.4  1034.0  0.00   0.0   0.000   0.030   23.4    52   13.0   23.4   9.57 1.1976    700    1    100.0   30 
